distorted_folder,scene,method,MOSs,Subject 1,Subject 2,Subject 3,Subject 4,Subject 5,Subject 6,Subject 7,Subject 8,Subject 9,Subject 10,Subject 11,Subject 12,Subject 13,Subject 14,Subject 15,Subject 16,Subject 17,Subject 18,Subject 19,Subject 20,Subject 21,Subject 22,Subject 23,Subject 24,Subject 25,Subject 26,Subject 27,Subject 28,Subject 29,Subject 30,Subject 31,Subject 32,Subject 33,Subject 34,Subject 35,Subject 36,Subject 37,Subject 38,Subject 39,Subject 40,Subject 41,Subject 42,Subject 43,Subject 44,Subject 45,Subject 46,Subject 47,MOS,MOSss
dvgo_fortress_voxels_64,fortress,dvgo_voxels_64,1.4377,2,4,2,6,2,2.6,4,3,3.6,2,4,3.6,3,2,3.2,1,3,,1,,4,4,,1,,3,1,2,1,1,1,3,,2,1,0,,,,,,,,,,,,2.4517,1.0941
dvgo_fortress_voxels_128,fortress,dvgo_voxels_128,2.7194,6,6,4,8,4,6,6,4.6,6,6,6,7,6,4,5.6,3,7,,3,,4,6,,3,,8,4,4,4,7,4,7,8,5,3,4,,,,,,,,,,,,5.2875,4.2984
plenoxel_fortress_default,fortress,plenoxel_default,3.762,8,8,8,6,6,8,8,6,7.4,8,8,9,9,6,7.2,8,9,,8,,6,8,,3,,9,9,7,6,10,6,8,10,7,6,7,,,,,,,,,,,,7.4875,6.905
plenoxel_fortress_SH_1,fortress,plenoxel_SH_1,2.9186,8,6,6,6,4,7.6,6.6,6.4,5.6,4,4,4,4,2,6,7,7,,8,,6,8,,4,,7,8,8,5,9,2,8,7,6,5,3,,,,,,,,,,,,5.8813,4.7963
tensoRF_fortress_VM_MLP,fortress,tensoRF_VM_MLP,4.0343,8,10,10,6,8,7.8,8,7.4,7.6,8,6,6,10,8,8.4,9,9,,10,,6,8,,7,,10,8,9,7,10,7,9,6,9,8,9,,,,,,,,,,,,8.1313,7.5857
tensoRF_fortress_VM_SH_16,fortress,tensoRF_VM_SH_16,3.8829,6,8,8,6,6,6.4,7.6,7,6.6,9,8,8,8.4,6,6.8,8,9,,10,,6,8,,8,,10,9,8,7,10,8,9,7,8,6,9,,,,,,,,,,,,7.7438,7.2071
dvgo_room_voxels_64,room,dvgo_voxels_64,1.676,2,2,2,,2,2.8,4,3.6,4,4,4,4,4,2,3.2,2,4,,1,,6,5,,1,,3,2,1,1,1,1,4,,4,1,1,,,,,,,,,,,,2.72,1.69
dvgo_room_voxels_128,room,dvgo_voxels_128,2.5747,6,6,4,8,4,6.4,6,6,5,6,6,6,8,5,5.6,2,7,,6,,6,7,,3,,6,4,4,2,2,1,6,6,6,3,3,,,,,,,,,,,,5.0625,3.9367
plenoxel_room_default,room,plenoxel_default,2.7938,6,6,6,8,6,5.6,6.8,7.2,5.4,4,4,6,7,7,6.4,2,6,,3,,7,7,,7,,7,8,5,2,3,1,4,10,5,3,5,,,,,,,,,,,,5.5125,4.4843
plenoxel_room_SH_1,room,plenoxel_SH_1,2.1613,6,6,6,6,4,3.6,4,3.8,4,4,4,4,4.4,6,5.6,1,6,,1,,4,7,,4,,6,6,5,1,1,1,4,8,4,2,2,,,,,,,,,,,,4.2,2.9032
tensoRF_room_VM_MLP,room,tensoRF_VM_MLP,3.007,6,8,8,6,6,6.8,6.4,7,6,4,4,4,7.6,7,6.8,2,8,,6,,7,7,,4,,8,7,9,5,5,,5,9,7,3,4,,,,,,,,,,,,6.1162,5.0174
tensoRF_room_VM_SH_16,room,tensoRF_VM_SH_16,2.7104,6,6,6,4,6,5.8,6.4,6,6,4,6,4,6,6,5.6,3,7,,3,,5,8,,3,,8,7,7,3,5,1,4,,6,2,4,,,,,,,,,,,,5.1549,4.276
