,distorted_filename,reference_filename,FVVHD,DISTS,SSIM,GMSD,MOS,DoMOS,DMOS,Buike MOS,Shihao Score,Xu MOS,Prof MOS,buike MOS2,AvgMOS,pSNR Score,Average_PSNR,Contrique_score,WaDiQaM_score,CompressVQA,PSNR_Score,MS-SSIM_Score,LPIPS_Score,WaDiQa_score,LPIPS_Score_vgg,PLCC,SROCC,KROCC,scene,NeRF-DISTS
10,ficus_plenoxels.mp4,ficus_reference.mp4,8.5492,0.036749032437801,0.98691,0.053711,3.6121,3.812399728076141,20.6,4.0,4,2,4.0,3.5,3.5,37.649451910841,31.35894181059002,0.0051022153534,0.764985649287701,3.68416595458984,37.649451910841,0.971440775336923,0.0195297299698,76.4985649287701,0.036488940473646,,,,ficus,7.332467
11,lego_dvgo_ss2.mp4,lego_reference.mp4,8.6011,0.0312015613913539,0.98527,0.0505759999999999,4.3879,3.7787899388171295,21.527,4.5,5,4,4.0,4.25,4.375,36.63454790190279,31.637013407864163,0.02973999556154,0.7911920359730721,3.67705345153809,36.63454790190279,0.96191605479569,0.030973190357909,79.1192035973072,0.059665864631534,,,,lego,7.859608
12,ficus_plenoxels_ss2.mp4,ficus_reference.mp4,7.8773,0.1226313716173169,0.9631,0.10186,1.5351,3.5120688873782004,28.8835,1.0,3,1,2.0,1.5,1.75,35.8074232240556,27.10124794924476,0.1740278602018949,0.672017219364643,2.6207509040832497,35.8074232240556,0.9333823287654672,0.077444100240246,67.2017219364643,0.0953307925350959,,,,ficus,3.8639057
13,lego_instantNGP_ss2.mp4,lego_reference.mp4,6.8839,0.054123724400997,0.83986,0.17443,3.2105,3.33423068207569,33.7885,2.0,5,2,3.0,2.5,3.0,34.7021223580524,22.586846668560234,0.0431349221244459,0.7413881447911259,3.36477947235107,34.7021223580524,0.8203691622929129,0.073072188720107,74.1388144791126,0.115017069205642,,,,lego,7.5979843
14,ficus_dvgo_ss2.mp4,ficus_reference.mp4,8.2455,0.055612106025219,0.97911,0.063698,3.3913,3.3166825288919104,34.2725,3.0,3,2,3.0,3.0,2.75,37.41442361509071,29.55013026539478,0.024090395476669,0.7586774507164951,3.46413469314575,37.41442361509071,0.962491254031134,0.025999049576931,75.86774507164951,0.046040460914373,,,,ficus,6.466631
15,ship_dvgo.mp4,ship_reference.mp4,7.4035,0.060711621046066,0.9381,0.077411,3.5044,3.1960752322683,37.599,3.0,4,2,3.0,3.0,3.0,35.057033304962104,29.53321494841566,0.076818302497268,0.759213798940182,3.4279613494873,35.057033304962104,0.901624201165529,0.1012432221882049,75.9213798940182,0.144867242388427,,,,ship,6.2840333
16,lego_plenoxels_ss2.mp4,lego_reference.mp4,7.417000000000001,0.128104348182678,0.9217,0.13737,1.4601,2.89826421935191,45.813,1.0,3,1,2.0,1.0,1.75,33.8151338890199,25.46635681052388,0.308425103351474,0.5966113835573199,2.01902341842651,33.8151338890199,0.868392371975369,0.13306688066572,59.661138355732,0.174462996199727,,,,lego,4.159258
17,ship_dvgo_ss2.mp4,ship_reference.mp4,7.1088,0.07100794672966,0.91807,0.0878159999999999,3.0,2.86037616134149,46.858,3.0,3,2,2.5,3.0,2.625,34.6404776158539,28.78116600972284,0.093827757686377,0.757461574375629,2.9745459556579603,34.6404776158539,0.8840648073454241,0.1089718877151609,75.7461574375629,0.155235229097307,,,,ship,5.875986
18,drums_plenoxels.mp4,drums_reference.mp4,7.6516,0.083739031255245,0.95149,0.098526,3.4298,2.6714797190120096,52.068000000000005,2.0,4,3,2.0,2.5,2.75,35.8372998716319,25.49411624387053,0.063607540763915,0.7362522104382511,2.91252660751343,35.8372998716319,0.93066046130119,0.062849373053759,73.62522104382509,0.07174458866939,,,,drums,5.4492435
19,drums_tensorf.mp4,drums_reference.mp4,7.7231,0.09528316706419,0.95251,0.096109,3.8288,2.60184908225697,53.9885,3.0,5,3,3.0,3.75,3.5,35.6570558485715,25.643502205748128,0.0911922475695609,0.75763586640358,2.7475774288177504,35.6570558485715,0.929685602879827,0.062710588686168,75.763586640358,0.123126725032926,,,,drums,5.5164843
20,drums_tensorf_ss2.mp4,drums_reference.mp4,7.5722,0.1025509414076809,0.94437,0.1030599999999999,3.4587,2.5499297530024903,55.4205,2.0,4,3,3.0,2.8,3.0,35.51439770463529,24.948525442254653,0.095300630629063,0.755045035481453,2.69204139709473,35.51439770463529,0.922058839251677,0.067049190122634,75.5045035481453,0.1314268761500719,,,,drums,5.353522
21,ship_instantNGP.mp4,ship_reference.mp4,7.0752,0.077777417600155,0.92007,0.10778,3.0598,2.50493541808294,56.6615,3.0,4,2,2.0,3.0,2.75,34.7781293679748,26.91247815944556,0.080374644435942,0.7257977885007858,3.35275173187256,34.7781293679748,0.8789192281729621,0.11272635769099,72.5797788500786,0.160982357598841,,,,ship,5.7058263
22,ship_plenoxels.mp4,ship_reference.mp4,7.0573,0.070310072898865,0.92348,0.093446,2.6991,2.46701110355767,57.7075,3.0,4,2,2.0,3.5,2.75,34.6592691374018,28.824075859942425,0.0926808139681819,0.732023157775402,3.29279851913452,34.6592691374018,0.891066797963348,0.111525709163398,73.2023157775402,0.144628183208406,,,,ship,5.9316454
23,ship_plenoxels_ss2.mp4,ship_reference.mp4,5.7947,0.183356612026691,0.8132699999999999,0.1718299999999999,1.0,2.34995694538862,60.93600000000001,1.0,2,1,1.0,1.0,1.25,32.5065296626272,23.719053781445087,0.459984961599112,0.5349822464585301,1.81643009185791,32.5065296626272,0.792733997640205,0.255243030488491,53.49822464585301,0.289218382537365,,,,ship,2.3493924
24,drums_dvgo.mp4,drums_reference.mp4,7.729,0.0853286552429199,0.95279,0.096678,3.2991,2.19365510990256,65.247,3.0,4,3,3.0,3.5,3.25,35.8585467338452,25.83273693652042,0.069081705547869,0.7491145670413969,2.8934292793273904,35.8585467338452,0.930602305995582,0.059400318507105,74.9114567041397,0.080869171898812,,,,drums,5.5187125
25,drums_plenoxels_ss2.mp4,drums_reference.mp4,7.1786,0.138430850207806,0.91648,0.14129,1.2308,2.03017448447768,69.756,1.0,2,1,1.0,1.0,1.25,34.284867978058,23.08706605426396,0.342218788787723,0.595941096246242,1.82627522945404,34.284867978058,0.8820567894596401,0.135681058093905,59.5941096246242,0.152955540902913,,,,drums,3.894622
26,ship_instantNGP_ss2.mp4,ship_reference.mp4,6.3773,0.0862386906147,0.83747,0.15063,2.5086,1.81138454566055,75.7905,3.0,4,2,2.0,2.5,2.75,34.0308688178113,23.856726531711264,0.074894337020815,0.7040019002556801,3.01009750366211,34.0308688178113,0.8077787078166391,0.135798608288169,70.400190025568,0.18885496519506,,,,ship,5.4727373
